"BehaviorSpace results (NetLogo 6.0.4)"
"as4.nlogo"
"experiment"
"01/06/2019 22:49:18:086 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","antenna-range","alpha","sensing-range","start_msg_tick","total-nodes","flooding","[step]","msg_reached_goal","number_of_msg_send","number_of_received"
"317","7","1.15","0.9","15","150","true","22","1","74","107"
"318","7","1.15","0.9","15","150","true","20","1","64","99"
"323","7","1.15","0.9","15","150","true","20","1","60","79"
"321","7","1.15","0.9","15","150","true","15","1","1","8"
"322","7","1.15","0.9","15","150","true","19","1","56","92"
"319","7","1.15","0.9","15","150","true","20","1","56","82"
"320","7","1.15","0.9","15","150","true","21","1","79","108"
"324","7","1.15","0.9","15","150","true","18","1","39","64"
"325","7","1.15","0.9","15","150","true","16","1","12","26"
"328","7","1.15","0.9","15","150","true","16","1","8","13"
"327","7","1.15","0.9","15","150","true","18","1","18","30"
"330","7","1.15","0.9","15","150","true","19","1","52","72"
"326","7","1.15","0.9","15","150","true","22","1","108","129"
"329","7","1.15","0.9","15","150","true","25","1","116","139"
"332","7","1.15","0.9","15","150","true","19","1","54","76"
"333","7","1.15","0.9","15","150","true","18","1","34","54"
"331","7","1.15","0.9","15","150","true","19","1","48","67"
"337","7","1.15","0.9","15","150","true","17","1","10","18"
"335","7","1.15","0.9","15","150","true","22","1","91","118"
"334","7","1.15","0.9","15","150","true","23","1","72","94"
"336","7","1.15","0.9","15","150","true","24","1","82","104"
"338","7","1.15","0.9","15","150","true","21","1","31","45"
"340","7","1.15","0.9","15","150","true","22","1","58","83"
"339","7","1.15","0.9","15","150","true","21","1","45","74"
"343","7","1.15","0.9","15","150","true","22","1","107","132"
"344","7","1.15","0.9","15","150","true","22","1","88","120"
"342","7","1.15","0.9","15","150","true","21","1","60","79"
"347","7","1.15","0.9","15","150","true","22","1","116","130"
"348","7","1.15","0.9","15","150","true","22","1","68","83"
"345","7","1.15","0.9","15","150","true","21","1","91","117"
"346","7","1.15","0.9","15","150","true","21","1","75","108"
"341","7","1.15","0.9","15","150","true","21","1","85","114"
"350","7","1.15","0.9","15","150","true","19","1","34","58"
"351","7","1.15","0.9","15","150","true","19","1","49","72"
"352","7","1.15","0.9","15","150","true","19","1","35","52"
"349","7","1.15","0.9","15","150","true","19","1","61","91"
"354","7","1.15","0.9","15","150","true","23","1","117","135"
"353","7","1.15","0.9","15","150","true","20","1","71","101"
"355","7","1.15","0.9","15","150","true","25","1","129","148"
"356","7","1.15","0.9","15","150","true","19","1","26","49"
"360","7","1.15","0.9","15","150","true","19","1","33","52"
"359","7","1.15","0.9","15","150","true","24","1","130","146"
"357","7","1.15","0.9","15","150","true","19","1","41","62"
"358","7","1.15","0.9","15","150","true","24","1","123","147"
"363","7","1.15","0.9","15","150","true","17","1","11","20"
"361","7","1.15","0.9","15","150","true","22","1","94","125"
"362","7","1.15","0.9","15","150","true","19","1","48","70"
"364","7","1.15","0.9","15","150","true","18","1","24","30"
"366","7","1.15","0.9","15","150","true","20","1","67","90"
"365","7","1.15","0.9","15","150","true","15","1","1","6"
"367","7","1.15","0.9","15","150","true","19","1","24","44"
"368","7","1.15","0.9","15","150","true","21","1","99","128"
"369","7","1.15","0.9","15","150","true","21","1","45","55"
"371","7","1.15","0.9","15","150","true","21","1","77","113"
"370","7","1.15","0.9","15","150","true","19","1","33","57"
"373","7","1.15","0.9","15","150","true","16","1","6","19"
"375","7","1.15","0.9","15","150","true","20","1","72","96"
"376","7","1.15","0.9","15","150","true","21","1","43","59"
"374","7","1.15","0.9","15","150","true","22","1","55","84"
"372","7","1.15","0.9","15","150","true","22","1","88","122"
"378","7","1.15","0.9","15","150","true","18","1","21","33"
"377","7","1.15","0.9","15","150","true","17","1","23","39"
"379","7","1.15","0.9","15","150","true","21","1","91","110"
"380","7","1.15","0.9","15","150","true","22","1","76","107"
"383","7","1.15","0.9","15","150","true","20","1","76","108"
"385","7","1.15","0.9","15","150","true","21","1","105","133"
"382","7","1.15","0.9","15","150","true","20","1","65","86"
"387","7","1.15","0.9","15","150","true","15","1","1","9"
"384","7","1.15","0.9","15","150","true","20","1","40","68"
"386","7","1.15","0.9","15","150","true","23","1","122","146"
"381","7","1.15","0.9","15","150","true","23","1","119","137"
"391","7","1.15","0.9","15","150","true","19","1","40","50"
"389","7","1.15","0.9","15","150","true","22","1","110","125"
"388","7","1.15","0.9","15","150","true","21","1","108","138"
"390","7","1.15","0.9","15","150","true","18","1","30","49"
"392","7","1.15","0.9","15","150","true","21","1","89","110"
"395","7","1.15","0.9","15","150","true","18","1","38","60"
"394","7","1.15","0.9","15","150","true","22","1","111","133"
"393","7","1.15","0.9","15","150","true","19","1","26","46"
"397","7","1.15","0.9","15","150","true","17","1","15","27"
"399","7","1.15","0.9","15","150","true","16","1","6","14"
"398","7","1.15","0.9","15","150","true","18","1","25","36"
"396","7","1.15","0.9","15","150","true","21","1","76","91"
"400","7","1.15","0.9","15","150","true","20","1","40","63"
